se_code,se_name,margin_vol
000001,平安银行,13.91
000012,南玻Ａ,8.83
000025,特力Ａ,10.00
000030,富奥股份,1.00
000032,深桑达Ａ,4.00
000034,神州数码,1.00
000035,中国天楹,1.11
000036,华联控股,1.00
000048,京基智农,5.00
000049,德赛电池,1.00
000050,深天马Ａ,4.30
000058,深赛格,5.46
000059,华锦股份,1.00
000060,中金岭南,1.36
000061,农产品,1.00
000065,北方国际,10.59
000066,中国长城,178.83
000070,特发信息,4.44
000090,天健集团,1.00
000100,TCL科技,2.09
000155,川能动力,2.00
000156,华数传媒,29.28
000158,常山北明,1.08
000166,申万宏源,4.58
000333,美的集团,3.66
000403,派林生物,1.00
000408,藏格矿业,18.56
000422,湖北宜化,1.00
000423,东阿阿胶,1.00
000426,兴业矿业,1.00
000498,山东路桥,12.85
000503,国新健康,1.00
000505,京粮控股,32.56
000517,荣安地产,1.00
000519,中兵红箭,2.38
000538,云南白药,1.00
000543,皖能电力,1.00
000546,金圆股份,11.47
000547,航天发展,4.44
000550,江铃汽车,1.00
000553,安道麦A,42.92
000555,神州信息,1.00
000557,西部创业,17.67
000560,我爱我家,1.35
000566,海南海药,1.00
000567,海德股份,6.36
000582,北部湾港,21.40
000591,太阳能,3.82
000592,平潭发展,1.14
000596,古井贡酒,2.08
000600,建投能源,1.00
000601,韶能股份,13.37
000603,盛达资源,1.00
000612,焦作万方,1.00
000625,长安汽车,29.57
000627,天茂集团,1.30
000639,西王食品,1.00
000650,仁和药业,1.00
000652,泰达股份,1.00
000657,中钨高新,11.31
000661,长春高新,44.24
000672,上峰水泥,1.00
000676,智度股份,15.70
000681,视觉中国,1.00
000682,东方电子,16.25
000683,远兴能源,1.70
000688,国城矿业,26.73
000723,美锦能源,16.85
000728,国元证券,6.30
000729,燕京啤酒,1.10
000733,振华科技,6.76
000739,普洛药业,1.00
000758,中色股份,31.91
000761,本钢板材,1.00
000762,西藏矿业,5.93
000767,晋控电力,1.06
000768,中航西飞,3.84
000776,广发证券,153.62
000783,长江证券,4.92
000791,甘肃电投,11.43
000792,盐湖股份,7.36
000795,英洛华,15.62
000799,酒鬼酒,1.11
000800,一汽解放,1.33
000801,四川九洲,1.00
000810,创维数字,1.00
000811,冰轮环境,1.00
000813,德展健康,1.00
000818,航锦科技,1.00
000823,超声电子,1.00
000828,东莞控股,1.00
000829,天音控股,1.00
000830,鲁西化工,2.15
000848,承德露露,4.42
000851,高鸿股份,1.00
000858,五粮液,2.42
000860,顺鑫农业,4.57
000875,吉电股份,7.62
000878,云南铜业,1.16
000883,湖北能源,2.71
000885,城发环境,1.00
000893,亚钾国际,1.00
000901,航天科技,1.00
000903,云内动力,1.00
000910,大亚圣象,1.00
000913,钱江摩托,6.32
000915,华特达因,1.00
000917,电广传媒,1.00
000921,海信家电,1.00
000927,中国铁物,35.47
000928,中钢国际,1.00
000930,中粮科技,1.61
000933,神火股份,1.19
000935,四川双马,1.00
000936,华西股份,1.00
000950,重药控股,14.32
000951,中国重汽,1.00
000958,电投产融,1.00
000960,锡业股份,2.00
000963,华东医药,1.14
000966,长源电力,1.00
000968,蓝焰控股,1.00
000969,安泰科技,1.00
000976,华铁股份,1.00
000982,中银绒业,80.66
000983,山西焦煤,1.00
000988,华工科技,1.88
000989,九芝堂,1.00
000998,隆平高科,15.95
001289,龙源电力,2.31
001696,宗申动力,1.00
001914,招商积余,1.00
002001,新和成,5.08
002003,伟星股份,14.34
002004,华邦健康,53.30
002008,大族激光,1.00
002013,中航机电,70.32
002015,协鑫能科,10.26
002017,东信和平,1.00
002019,亿帆医药,7.23
002020,京新药业,1.00
002023,海特高新,1.00
002025,航天电器,1.00
002027,分众传媒,6.39
002030,达安基因,6.91
